DATA;TIPO;DESCRIZIONE;IN ENTRATA/IN USCITA;SALDO
01 ago 2024;Pagamento degli interessi;Your interest payment;12,03€;2.537,50€
01 ago 2024;Transazione con carta;RISTORANTE SANTA MARIA;-173,00€;2.364,50€
02 ago 2024;Transazione con carta;GROTTE DI CASTELLANA SRL;-36,00€;2.328,50€
02 ago 2024;Transazione con carta;GROTTE DI CASTELLANA SRL;-4,00€;2.324,50€
02 ago 2024;Transazione con carta;GUSTO;-25,50€;2.299,00€
03 ago 2024;Transazione con carta;CAFFETTERIA ALEXANDER..;-1,70€;2.297,30€
04 ago 2024;Transazione con carta;ASPIT BARI NORD -;56,20€;2.241,10€
05 ago 2024;Transazione con carta;030 OBI;-13,15€;2.227,95€
05 ago 2024;Transazione con carta;MAGLIONE MURGE EST;-3,70€;2.224,25€
05 ago 2024;Transazione con carta;COOP MERIDIANA;-5,74€;2.218,51€
06 ago 2024;Transazione con carta;eBay O*26-11889-67073;-30,59€;2.187,92€
08 ago 2024;Transazione con carta;AMZN Mktp IT;4,00€;2.191,92€
11 ago 2024;Transazione con carta;PAYPAL *UCIITALIASP;-13,80€;2.178,12€
11 ago 2024;Transazione con carta;ESSELUNGA;43,84€;2.134,28€
11 ago 2024;Transazione con carta;FOOD ARENA CAMPO VOLO;-6,00€;2.128,28€
11 ago 2024;Transazione con carta;PARRUCCHIERE 1  ANDREI GORINCIOI;-13,00€;2.115,28€
12 ago 2024;Transazione con carta;PV3095;53,85€;2.061,43€
12 ago 2024;Transazione con carta;AMI MARKET DI CHEN DONGL;4,80€;2.056,63€
12 ago 2024;Transazione con carta;LA FIUMA;-23,00€;2.033,63€
13 ago 2024;Trasferimento;Deposito accettato: IT26N0503401753000000119847 a DE64502109007019589468  14 ago;1.300,00€;3.333,63€
14 ago 2024;Transazione con carta;WWW.AMAZON.* 9R0NO1415;-199,90€;3.133,73€
15 ago 2024;Transazione con carta;eBay O*15-11936-05471;28,41€;3.162,14€
15 ago 2024;Transazione con carta;eBay O*15-11936-05471;-28,41€;3.133,73€
15 ago 2024;Transazione con carta;PIZZIKOTTO;-1,30€;3.132,43€
16 ago 2024;Commercio;Savings plan execution IE00B4L5Y983 iShares III plc - iShares Core MSCI World UCITS ETF USD (Acc), quantity: 0.531609;-50,00€;3.082,43€
17 ago 2024;Transazione con carta;PAYPAL *VOITECHNOLO;2,09€;3.080,34€
17 ago 2024;Transazione con carta;Orefici11 Milano;-24,30€;3.056,04€
17 ago 2024;Transazione con carta;MIX MARKT;-11,70€;3.044,34€
17 ago 2024;Transazione con carta;DM-Fil. I011;-26,55€;3.017,79€
17 ago 2024;Transazione con carta;SIREN COFFEE SRL;-5,20€;3.012,59€
17 ago 2024;Transazione con carta;PRIMARK MILAN VIA TORINO;-18,00€;2.994,59€
18 ago 2024;Transazione con carta;REGGIO EMILIA SELF SERVIC;-27,40€;2.967,19€
18 ago 2024;Transazione con carta;MILANO CENTRALE SELF SERV;-27,40€;2.939,79€
19 ago 2024;Transazione con carta;ENI06407;-30,36€;2.909,43€
21 ago 2024;Transazione con carta;Google Payment IE LTD Goo;-1,99€;2.907,44€
23 ago 2024;Transazione con carta;DECATHLON 00001529;3,49€;2.903,95€
23 ago 2024;Transazione con carta;ESSELUNGA;-13,97€;2.889,98€
24 ago 2024;Transazione con carta;PAYPAL *EBAY IT;-24,90€;2.865,08€
24 ago 2024;Transazione con carta;PAYPAL *KINGUINDIGI;-49,10€;2.815,98€
30 ago 2024;Transazione con carta;PAYPAL *KENA MOBILE;-10,00€;2.805,98€
